GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,YEAR.id,GOVEMPFUNCT.id,GOVEMPFUNCT.display-label,EMPFT,PAYANNFT,EMPPT,PAYANNPT,HRSPT,EMPFTE,EMP,PAYANN
0100000US,,United States,,2015,1000,Total - All Government Employment Functions,3750210,19351244811,1593343,2217198905,102550874,4338661,5343553,21568443716
0100000US,,United States,,2015,1020,Financial Administration,165458,807520310,10123,21495320,1057868,171529,175581,829015630
0100000US,,United States,,2015,1040,Other Government Administration,47232,233053912,10322,22600660,966291,52809,57554,255654572
0100000US,,United States,,2015,1060,Judicial and Legal,169635,952136173,8731,20889781,796834,174180,178366,973025954
0100000US,,United States,,2015,1100,Police Protection Total,100877,603969707,2822,4560350,179569,101905,103699,608530057
0100000US,,United States,,2015,1101,Police Protection - Persons with Power of Arrest       ,64833,449736454,532,664873,22055,64957,65365,450401327
0100000US,,United States,,2015,1102,Police Protection - Other ,36044,154233253,2290,3895477,157514,36948,38334,158128730
0100000US,,United States,,2015,1120,Fire Protection Total ,0,0,0,0,0,0,0,0
0100000US,,United States,,2015,1121,Fire Protection - Firefighters,0,0,0,0,0,0,0,0
0100000US,,United States,,2015,1122,Fire Protection - Other ,0,0,0,0,0,0,0,0
0100000US,,United States,,2015,1140,Corrections,433012,1964638804,8749,23694207,911183,438204,441761,1988333011
0100000US,,United States,,2015,1160,Highways,207143,1014546296,11674,28177716,1106216,213551,218817,1042724012
0100000US,,United States,,2015,1180,Air Transportation,3235,18231407,65,129417,4839,3263,3300,18360824
0100000US,,United States,,2015,1200,Water Transport and Terminals       ,4482,26789857,74,139943,7015,4521,4556,26929800
0100000US,,United States,,2015,1220,Public Welfare,235386,944077468,11216,26339542,1236690,242456,246602,970417010
0100000US,,United States,,2015,1240,Health,176475,827143592,16090,37801812,1357780,184212,192565,864945404
0100000US,,United States,,2015,1260,Hospitals,345069,1678679486,75806,284845396,7664565,388743,420875,1963524882
0100000US,,United States,,2015,1280,Social Insurance Administration,70177,313835629,4637,11918016,521505,73161,74814,325753645
0100000US,,United States,,2015,1300,Solid Waste Management,2300,13488506,193,508433,21554,2422,2493,13996939
0100000US,,United States,,2015,1320,Sewerage,1663,10719076,48,240881,3935,1686,1711,10959957
0100000US,,United States,,2015,1340,Parks and Recreation,30031,111249571,10820,14404246,999409,35778,40851,125653817
0100000US,,United States,,2015,1360,Housing and Community Development,613,3501708,56,133542,6516,650,669,3635250
0100000US,,United States,,2015,1380,Natural Resources,120754,568154817,25971,41038012,2226427,133414,146725,609192829
0100000US,,United States,,2015,1400,Water Supply,782,4184258,31,57500,1598,791,813,4241758
0100000US,,United States,,2015,1420,Electric Power,4083,29572850,68,181192,5356,4114,4151,29754042
0100000US,,United States,,2015,1440,Gas Supply,0,0,0,0,0,0,0,0
0100000US,,United States,,2015,1460,Transit,32133,208674867,1431,2689922,130158,32869,33564,211364789
0100000US,,United States,,2015,1480,Education Total ,1425964,8148474249,1374656,1642277584,81817112,1895865,2800620,9790751833
0100000US,,United States,,2015,1481,Education - Elementary and Secondary Total ,42580,217660613,17233,20298937,1080572,49221,59813,237959550
0100000US,,United States,,2015,14811,Education - Elementary and Secondary Instructional             ,31853,177797121,12117,13631156,701109,36105,43970,191428277
0100000US,,United States,,2015,14812,Education - Elementary and Secondary Other ,10727,39863492,5116,6667781,379463,13116,15843,46531273
0100000US,,United States,,2015,1482,Education - Higher Education Total ,1304789,7560158701,1344794,1599610896,79727058,1762271,2649583,9159769597
0100000US,,United States,,2015,14821,Education - Higher Education Instructional,420483,3330450154,432506,795014960,27899524,580840,852989,4125465114
